Serial|Price|Sold.Date|Size|Address
107|1.02M|10/3/14|3 bd, 3 ba, 1,709 sqft|9 Buttercup Ln, San Carlos, CA
108|5.98M|10/3/14|1 bd, 1 ba, 8,346 sqft|1617 Sixth Ave, Belmont, CA
109|704,000|10/3/14|2 bd, 1 ba, 993 sqft|1561 Cherry St APT 5, San Carlos, CA
110|1.32M|10/3/14|4 bd, 2.5 ba, 2,400 sqft|986 Sunset Dr, San Carlos, CA
111|5.98M|10/3/14|1 bd, 1 ba, 9,898 sqft|1621 Sixth Ave, Belmont, CA
112|1.02M|10/2/14|2 bd, 1 ba, 1,090 sqft|348 Oakview Dr, San Carlos, CA
113|1.08M|10/1/14|2 bd, 1 ba, 1,328 sqft|119 Belvedere Ave, San Carlos, CA
114|1.1M|9/30/14|2 bd, 1 ba, 1,180 sqft|736 Tamarack Ave, San Carlos, CA
115|1.4M|9/30/14|3 bd, 1 ba, 1,210 sqft|154 Alberta Ave, San Carlos, CA
116|2.25M|9/30/14|3 bd, 3 ba, 3,060 sqft|760 Crestview Dr, San Carlos, CA
117|925,100|9/30/14|3 bd, 1 ba, 1,280 sqft|819 Sunset Dr, San Carlos, CA
118|525,000|9/30/14|2 bd, 2 ba, 1,124 sqft|728 Elm St APT 108, San Carlos, CA
119|675,000|9/29/14|2 bd, 1.5 ba, 970 sqft|772 Walnut St APT 15, San Carlos, CA
120|1.1M|9/26/14|3 bd, 1 ba, 1,210 sqft|205 Oakview Dr, San Carlos, CA
121|2.45M|9/26/14|5 bd, 5 ba, 3,106 sqft|125 Kelton Ave, San Carlos, CA
122|1.77M|9/25/14|8 bd, 5 ba, 4,256 sqft|344 Torino Dr APT 1, San Carlos, CA
123|975,000|9/24/14|2 bd, 1 ba, 1,050 sqft|137 Cedar St, San Carlos, CA
124|2.28M|9/23/14|4 bd, 3 ba, 3,402 sqft|575 Alameda, San Carlos, CA
125|1.38M|9/23/14|4 bd, 2.5 ba, 1,910 sqft|241 Highland Ave, San Carlos, CA
126|1.64M|9/22/14|4 bd, 3 ba, 2,148 sqft|269 Ruby Ave, San Carlos, CA
127|1.9M|9/22/14|4 bd, 3 ba, 3,308 sqft|109 Windsor Dr, San Carlos, CA
128|675,000|9/19/14|1 bd, 1 ba, 774 sqft|633 Elm St APT 114, San Carlos, CA
129|1.13M|9/19/14|2 bd, 1 ba, 1,080 sqft|1020 Orange Ave, San Carlos, CA
130|903,000|9/19/14|3 bd, 1 ba, 980 sqft|338 G St, Redwood City, CA
131|1.6M|9/19/14|3 bd, 2 ba, 2,400 sqft|245 Highland Ave, San Carlos, CA
132|850,000|9/19/14|2 bd, 1 ba, 1,040 sqft|976 Holly St, San Carlos, CA
133|1.85M|9/18/14|4 bd, 3 ba, 3,000 sqft|340 Elm St, San Carlos, CA
134|1.77M|9/18/14|3 bd, 3.5 ba, 2,080 sqft|8 El Sereno Dr, San Carlos, CA
135|640,000|9/18/14|3 bd, 2 ba, 1,040 sqft|3350 La Mesa Dr APT 10, San Carlos, CA
136|1.1M|9/18/14|2 bd, 2 ba, 1,020 sqft|124 Winding Way, San Carlos, CA
137|2M|9/18/14|5 bd, 3 ba, 2,700 sqft|3166 La Mesa Dr, San Carlos, CA
138|1.38M|9/16/14|3 bd, 3 ba, 2,010 sqft|7 Dover Ct, San Carlos, CA
139|650,000|9/16/14|4 bd, 3 ba, 2,690 sqft|1250 Edgewood Rd, Redwood City, CA
140|680,000|9/16/14|2 bd, 2 ba, 1,331 sqft|939 Laurel St APT 202, San Carlos, CA
